1984; 조지 오웰 (지은이); 민음사
브로크백 마운틴; 애니 프루 (지은이); 민음사
멀홀랜드 드라이브; 데이비드 린치 (지은이); 미디어창비
살인자의 기억법; 김영하 (지은이); 문학동네
어린 왕자; 앙투안 드 생텍쥐페리 (지은이); 문학동네
노르웨이의 숲; 무라카미 하루키 (지은이); 민음사
미움받을 용기; 기시미 이치로, 고가 후미타케 (지은이); 인플루엔셜
페스트; 알베르 카뮈 (지은이); 민음사
아몬드; 손원평 (지은이); 창비
인간 실격; 다자이 오사무 (지은이); 민음사
파친코; 이민진 (지은이); 문학동네
삼국지; 나관중 (지은이); 을유문화사
불멸의 이순신; 김훈 (지은이); 해냄
흔들리며 피는 꽃; 김동인 (지은이); 문학동네
내가 고백을 하겠다; 한강 (지은이); 창비
무기여 잘 있거라; 어니스트 헤밍웨이 (지은이); 민음사
타오르는 여자; 오르한 파묵 (지은이); 열린책들
한 인간의 고백; 프리드리히 니체 (지은이); 한길사
월든; 헨리 데이비드 소로 (지은이); 을유문화사
난장이가 쏘아올린 작은 공; 조세희 (지은이); 문학과지성사
하루를 살아도, 이게 나다; 김수영 (지은이); 문학동네
시지프 신화; 알베르 카뮈 (지은이); 민음사
돈의 역사; 니컬러스 휴스턴 (지은이); 을유문화사
하룻밤의 꿈; 윌리엄 셰익스피어 (지은이); 민음사
다윈의 악의; 오르한 파묵 (지은이); 열린책들
밤은 길고 별은 많다; 이정명 (지은이); 민음사
카라마조프가의 형제들; 도스토옙스키 (지은이); 민음사
그리스인 조르바; 니코스 카잔차키스 (지은이); 민음사
바람과 함께 사라지다; 마거릿 미첼 (지은이); 민음사
어둠의 왼손; 어슐러 K. 르 귄 (지은이); 열린책들
누가 내 머리에 침을 뱉었나; 정유정 (지은이); 은행나무
흑화; 김하나 (지은이); 문학동네
모든 일은 실수에서 시작된다; 스티븐 킹 (지은이); 문학동네
일곱 해의 마지막; 김지영 (지은이); 창비
트와일라잇; 스테프니 마이어 (지은이); 북폴리오
이것이 인간인가; 빅터 프랭클 (지은이); 민음사
로미오와 줄리엣; 윌리엄 셰익스피어 (지은이); 민음사
그녀의 연대기; 조지 오웰 (지은이); 민음사
여자없는 남자들; 무라카미 하루키 (지은이); 문학동네
위대한 개츠비; F. 스콧 피츠제럴드 (지은이); 민음사
리틀프린스; 앙투안 드 생텍쥐페리 (지은이); 문학동네
시간의 주름; 매들린 렝글 (지은이); 문학동네
달러 구트; 이석원 (지은이); 문학동네
사피엔스; 유발 하라리 (지은이); 김영사
돈이 될 때까지; 제이슨 슈워츠 (지은이); 열린책들
김지은입니다;김지은 (지은이);봄알람
코스모스;앤 드루안 (지은이) 김명남 (옮긴이);사이언스북스
자본과 이데올로기; 토마 피케티 (지은이) 안준범 (옮긴이); 문학동네
공정하다는 착각; 마이클 샌델 (지은이) 함규진 (옮긴이); 와이즈베리
뉴턴의 아틀리에; 김상욱 유지원 (지은이); 민음사
가난의 문법; 소준철 (지은이); 푸른숲
연년세세; 황정은 (지은이); 창비
시선으로부터; 정세랑 (지은이); 문학동네
증언들; 마거릿 애트우드 (지은이) 김선형 (옮긴이); 황금가지
제국의 브로커들; 우치다 준 (지은이) 한승동 (옮긴이); 길(도서출판)
돌이킬 수 없는 약속; 한강 (지은이); 창비
무소의 뿔처럼 혼자서 가라; 이정명 (지은이); 창비
안나 카레니나; 레프 톨스토이 (지은이); 민음사
피식 피식 연애담; 송이정 (지은이); 문학동네
열두 개의 단어; 조르주 페르낭 (지은이); 한길사
위험한 비즈니스; 존 그리샴 (지은이); 현대문학
인간의 조건; 앙리 바르뷔스 (지은이); 민음사
비밀과 거짓말; 미셸 푸코 (지은이); 한길사
끝나지 않은 이야기; 모리스 르블랑 (지은이); 민음사
나의 아저씨; 김영하 (지은이); 문학동네
감옥으로부터의 사색; 알베르 카뮈 (지은이); 민음사
감자 전쟁; 김훈 (지은이); 문학동네
버나드 쇼의 유머집; 버나드 쇼 (지은이); 민음사
외로움의 길; 정호승 (지은이); 문학동네
오만과 편견; 제인 오스틴 (지은이); 민음사
산문; 박완서 (지은이); 문학동네
매디슨 카운티의 다리; 로버트 제임스 월러 (지은이); 문학동네
신경 끄기의 기술; 마크 맨슨 (지은이); 한빛비즈
그들이 한 일을 기록하다; 니콜라스 도저 (지은이); 비아북
부자 되기 습관; 댄 롤랜드 (지은이); 북라이프
다시 태어나면; 유시민 (지은이); 돌베개
사랑의 기술; 에리히 프롬 (지은이); 열린책들
왕좌의 게임; 조지 R.R. 마틴 (지은이); 황금가지
모든 것이 빛을 잃은 후; 노르웨이 (지은이); 민음사
남한산성; 김훈 (지은이); 문학동네
시간을 파는 상점; 김영하 (지은이); 문학동네
고백; 김수현 (지은이); 문학동네
기억의 밤; 김경욱 (지은이); 은행나무
운명과 분노; 엘레나 페란테 (지은이); 열린책들
모든 아침의 꿈; 한강 (지은이); 창비
세계사의 틀; 노먼 데이비스 (지은이); 을유문화사
황금가지의 길; 허진호 (지은이); 황금가지
사랑과 일의 윤리학; 알랭 드 보통 (지은이); 열린책들
관계의 기술; 이지성 (지은이); 청림출판
어른이 되지 않기로 했다; 카를로스 루이스 (지은이); 달
설국열차; 봉준호 (지은이); 김영사
슬픈 기쁨; 신경숙 (지은이); 문학동네
바보들의 행진; 김상욱 (지은이); 민음사
